Title,Ingredients,Instructions
crab_cakes,"['2 slices firm white sandwich bread', '1/2 pound jumbo lump crabmeat, picked over', '2 tablespoon mayonnaise', '1/2 teaspoon Worcestershire sauce', '1 large egg, beaten', '2 tablespoon unsalted butter', 'lemon wedges']","Heat 1 3/4 inches oil to 200°C in a wide 3 1/2-to 4-quart heavy pot over high heat (oil will be just beginning to smoke). Drop in zest (oil will bubble vigorously) and fry until browned, about 1 minute. Remove with tongs.
Prepare churros while oil heats:
Line 2 trays with parchment paper.
Bring water with salt to a boil in a heavy medium saucepan, covered. Add 2 teaspoons olive oil and remove from heat. Immediately add flour and stir vigorously with a wooden spoon until combined (mixture will be stiff and not very smooth). Fill churro-maker with some hot dough and wrap a kitchen towel around churro-maker canister.
Turn screw handle of churro-maker until dough emerges from star opening. Holding opening about 2 inches above a tray, turn handle to squeeze long lines of dough onto parchment. Cut lines into 3-inch pieces with kitchen shears. Repeat with remaining dough, including any scraps.
Fry churros, 10 to 12 at a time, turning occasionally, until golden but still slightly moist in center, 3 to 4 minutes per batch. Drain on paper towels. Return oil to 200°C between batches.
Roll warm churros in sugar and serve with warm chocolate sauce if desired."
croque_madame,"['12 (3/4""-thick) slices day-old white bread, such as Pullman, pain de mie, or country bread (a square-shaped loaf works best)', '6 tablespoons unsalted butter', '3 tablespoons all-purpose flour', '3 cups whole milk', '1/4 teaspoon freshly grated or ground nutmeg', '1 1/4 teaspoons kosher salt, divided', '1/2 teaspoon freshly ground black pepper, divided', '3 1/4 cups grated Gruyère (about 10 ounces), divided', '1/4 cup Dijon mustard', '12 thin slices Black Forest ham (about 10 ounces)', '6 large eggs', 'Nonstick vegetable oil spray']","Arrange racks in top and middle of oven; preheat to 190°C. If bread is not a day old or still feels moist, arrange slices in a single layer on a baking sheet and bake, flipping once, until dry to the touch but not toasted, 5–10 minutes. Using a 2"" ring or cookie cutter or sharp paring knife, cut a hole in the center of 6 bread slices. Trim bread to fit in 2 even layers in a 13x9"" baking dish, with the whole slices on the bottom and the slices with holes on the top, forming 6 sandwiches. Remove from dish.
Melt butter in a medium pot over medium heat. Add flour and cook, whisking constantly, until butter foams then subsides (make sure it doesn't brown), and mixture is light gold and thickened, about 3 minutes. Slowly add milk, whisking constantly to prevent lumps from forming. Increase heat to medium-high and cook, whisking, until mixture thickens and coats the back of a spoon, 4–6 minutes. Reduce heat to very low. Whisk in nutmeg, 3/4 tsp. salt, and 1/4 tsp. pepper into the Béchamel sauce. Whisk in 1 cup Gruyère a handful at a time, making sure cheese is melted before adding more. (Béchamel with cheese added is technically called a Mornay sauce.) You should have about 3 1/2 cups of sauce.
Spread one-third of the Béchamel in the dish. Arrange 6 whole slices of bread in a single layer in dish. Spread Dijon evenly on bread. Top each with 2 slices of ham, folding to fit on bread if necessary.
Spread another third of the Béchamel over ham. Sprinkle evenly with 1 cup Gruyère. Place 6 bread slices with holes on top to form 6 sandwiches. Spread remaining Béchamel over sandwiches; sprinkle with 1 cup Gruyère (avoid holes to save room for eggs).
Crack 1 egg into each hole. Sprinkle with remaining 1/4 cup Gruyère. Season with remaining 1/2 tsp. salt and 1/4 tsp. pepper.
Spray a large piece of foil with nonstick spray. Place foil, oiled side down, over baking dish, crimping to seal. Bake on middle rack for 20 minutes. Remove foil, increase oven temperature to 400°C, transfer dish to top rack, and bake until egg whites are just barely set and yolks are still runny (eggs will continue to cook slightly when removed from oven), 8–12 minutes. Let cool 10 minutes before serving."
cup_cakes,"['1 cup granulated sugar', '3/4 cup butter, softened', '2 eggs', '2 teaspoons pure vanilla extract', '1/2 cup whole milk', '1/4 cup sour cream', '3/4 cup all-purpose flour', '1/2 cup self-rising flour', '1/2 teaspoon baking soda', '1/4 teaspoon salt', '2 tablespoons cinnamon', '1 apple, diced finely', '1/4 cup granulated sugar', '1/2 tablespoon cinnamon', '1/2 cup butter, softened', '4 ounces (about 1/2 cup) cream cheese', '1/2 teaspoon pure vanilla extract', '2 cups powdered sugar', '2 teaspoons cinnamon', '3/4 cup all-purpose flour', '2 tablespoons white sugar', '1 teaspoon baking powder', '1/2 teaspoon salt', '1/3 cup buttermilk', '1 egg', '1/2 tablespoon vegetable oil', '1 1/2 apples, chopped', '2 cups vegetable oil, for frying', 'Cinnamon and sugar, for garnish']","Preheat the oven to 180°C. Line two standard cupcake tins with 15 paper liners.
Using a stand or hand mixer, cream together the sugar and butter on medium speed in a large bowl.
Slowly add in eggs, one at a time, and mix on medium speed until combined.
Reduce speed to low and add vanilla extract, milk, and sour cream.
In a separate bowl, combine both flours, baking soda, salt, and cinnamon. Slowly add dry ingredients to wet ingredients, and mix on medium speed until smooth, about 2 minutes.
Using a large spoon, fill the cupcake liners three-quarters full and bake for 18 to 20 minutes, or until a toothpick inserted in the center comes out clean.
In a small saucepan over low heat, combine diced apple with sugar and cinnamon.
Simmer for 15 minutes, stirring occasionally, until apples are soft.
Set aside to fill cupcakes with later.
With a hand or stand mixer, beat softened butter and cream cheese together on medium speed for 3 minutes.
Add vanilla and mix on medium speed until thoroughly combined.
Slowly add powdered sugar and beat on low for 1 minute.
Add cinnamon and gradually increase the speed to high and beat for 3 minutes, until fluffy.
Combine flour and next seven ingredients including apples in a medium bowl.
Heat the 2 cups vegetable oil in a frying pan over medium high heat for 3 minutes. Lower heat to medium, and using an ice cream scoop or large spoon, drop 1/4 cupfuls of batter into the hot oil.
Fry about 2 to 3 minutes on each side, until golden. Remove fritters with a slotted spoon, and place on a plate lined with a paper towel to absorb the excess oil.
Continue until all the batter is gone, being careful not to overcrowd the pan while frying.
While hot, sprinkle the fritters with cinnamon and sugar.
After cooled, cut fritters into pieces to top cupcakes.
Once cool, poke small holes in each cupcake, using a circle pastry tip or an apple corer. Insert one tablespoon of the Cinnamon Apple Filling into each cupcake. Gently pipe each cupcake with Cinnamon Cream Cheese Frosting. Garnish with an Apple Fritter Topping piece on top of each cupcake."
deviled_eggs,"['6 large eggs', '1/4 cup mayonnaise', '1 teaspoon Dijon mustard', '1/8 teaspoon cayenne', 'Garnishes: paprika and chopped fresh chives', 'Pastry bag fitted with 1/2-inch star tip (optional)']","Preheat the oven to 180°C. Line two standard cupcake tins with 15 paper liners.
Using a stand or hand mixer, cream together the sugar and butter on medium speed in a large bowl.
Slowly add in eggs, one at a time, and mix on medium speed until combined.
Reduce speed to low and add vanilla extract, milk, and sour cream.
In a separate bowl, combine both flours, baking soda, salt, and cinnamon. Slowly add dry ingredients to wet ingredients, and mix on medium speed until smooth, about 2 minutes.
Using a large spoon, fill the cupcake liners three-quarters full and bake for 18 to 20 minutes, or until a toothpick inserted in the center comes out clean.
In a small saucepan over low heat, combine diced apple with sugar and cinnamon.
Simmer for 15 minutes, stirring occasionally, until apples are soft.
Set aside to fill cupcakes with later.
With a hand or stand mixer, beat softened butter and cream cheese together on medium speed for 3 minutes.
Add vanilla and mix on medium speed until thoroughly combined.
Slowly add powdered sugar and beat on low for 1 minute.
Add cinnamon and gradually increase the speed to high and beat for 3 minutes, until fluffy.
Combine flour and next seven ingredients including apples in a medium bowl.
Heat the 2 cups vegetable oil in a frying pan over medium high heat for 3 minutes. Lower heat to medium, and using an ice cream scoop or large spoon, drop 1/4 cupfuls of batter into the hot oil.
Fry about 2 to 3 minutes on each side, until golden. Remove fritters with a slotted spoon, and place on a plate lined with a paper towel to absorb the excess oil.
Continue until all the batter is gone, being careful not to overcrowd the pan while frying.
While hot, sprinkle the fritters with cinnamon and sugar.
After cooled, cut fritters into pieces to top cupcakes.
Once cool, poke small holes in each cupcake, using a circle pastry tip or an apple corer. Insert one tablespoon of the Cinnamon Apple Filling into each cupcake. Gently pipe each cupcake with Cinnamon Cream Cheese Frosting. Garnish with an Apple Fritter Topping piece on top of each cupcake."
donuts,"['1/3 cup melted refined coconut oil or canola oil, plus more for brushing the trays', '1 cup vegan sugar', '3/4 cup white or brown rice flour', '1/3 cup garbanzo and fava bean flour', '1/2 cup potato starch', '1/4 cup arrowroot', '1 1/2 teaspoons baking powder', '1/2 teaspoon xanthan gum', '1/2 teaspoon salt', '1/8 teaspoon baking soda', '6 tablespoons unsweetened applesauce', '1/4 cup vanilla extract', '1/2 cup hot water']","Cinnamon sugar Preheat the oven to 160°C. Brush 2 six-mold donut trays with coconut oil and set aside.
In a medium bowl, whisk together the sugar, flours, potato starch, arrowroot, baking powder, xanthan gum, salt, and baking soda. Add the coconut oil, applesauce, vanilla, and hot water and continue mixing with a rubber spatula just until the ingredients are combined. Using a melon-baller or tablespoon, drop 2 1/2 tablespoons of batter into each donut mold. Using a toothpick, spread the batter evenly around the mold.
Bake for 8 minutes, rotate, and continue to bake until the donuts are golden brown, about 7 minutes more. Let cool in the molds for 5 minutes if sprinkling with toppings such as cinnamon sugar, or 15 minutes if using glaze or icing. Run a knife around the donuts in the molds, lift them out, and place them on a baking sheet. Coat them in cinnamon sugar ."
dumplings,"['1 3/4 cups all-purpose flour plus additional for dusting', '1 (2-inch) piece peeled fresh ginger', '1/2 cup light soy sauce', '1 bunch scallions, thinly sliced', '3/4 lb ground pork (from shoulder; not lean)', 'a 3 1/4-inch round cookie cutter']","Cinnamon sugar Preheat the oven to 160°C. Brush 2 six-mold donut trays with coconut oil and set aside.
In a medium bowl, whisk together the sugar, flours, potato starch, arrowroot, baking powder, xanthan gum, salt, and baking soda. Add the coconut oil, applesauce, vanilla, and hot water and continue mixing with a rubber spatula just until the ingredients are combined. Using a melon-baller or tablespoon, drop 2 1/2 tablespoons of batter into each donut mold. Using a toothpick, spread the batter evenly around the mold.
Bake for 8 minutes, rotate, and continue to bake until the donuts are golden brown, about 7 minutes more. Let cool in the molds for 5 minutes if sprinkling with toppings such as cinnamon sugar, or 15 minutes if using glaze or icing. Run a knife around the donuts in the molds, lift them out, and place them on a baking sheet. Coat them in cinnamon sugar ."
edamame,"['14-16-ounce bag frozen unshelled edamame (soybeans)', '3 tablespoons toasted sesame oil', '1 teaspoon freshly ground black pepper', '1/2 teaspoon kosher salt', '1/2 teaspoon sugar']","Cinnamon sugar Preheat the oven to 160°C. Brush 2 six-mold donut trays with coconut oil and set aside.
In a medium bowl, whisk together the sugar, flours, potato starch, arrowroot, baking powder, xanthan gum, salt, and baking soda. Add the coconut oil, applesauce, vanilla, and hot water and continue mixing with a rubber spatula just until the ingredients are combined. Using a melon-baller or tablespoon, drop 2 1/2 tablespoons of batter into each donut mold. Using a toothpick, spread the batter evenly around the mold.
Bake for 8 minutes, rotate, and continue to bake until the donuts are golden brown, about 7 minutes more. Let cool in the molds for 5 minutes if sprinkling with toppings such as cinnamon sugar, or 15 minutes if using glaze or icing. Run a knife around the donuts in the molds, lift them out, and place them on a baking sheet. Coat them in cinnamon sugar ."
eggs_benedict,"['24 medium- thick asparagus spears', '2 teaspoons fresh lemon juice', 'Salt', '8 large farm-fresh eggs', 'Splash of white wine vinegar', '4 English muffins, split and toasted', '4 1/2 ounces Brie cheese, cut into thin strips', 'Hollandaise Sauce', 'Freshly cracked black pepper']","Preheat the oven to 180°C.
Bring a large saucepan of water to a boil. Cut off and discard the woody ends from the asparagus and boil the spears for 5 minutes, or until fork- tender but still firm. Drain, transfer to a dish, and sprinkle the lemon juice on top.
Heat a wide 3-quart saucepan of water over medium heat and add a pinch of salt. Poach the eggs.
Place the English muffins on a baking sheet lined with parchment paper. Top each muffins half with 3 asparagus spears and 2 slices of Brie. Bake for 5 minutes, or until the cheese is melted and bubbling.
Top each muffins half with a poached egg and 1 tablespoon of the Hollandaise sauce and season with a pinch each of salt and pepper. Serve immediately."
escargots,"['1 small garlic clove', '3/8 teaspoon table salt', '1 stick (1/2 cup) unsalted butter, softened', '1 1/2 teaspoons finely minced shallot', '1 tablespoon finely chopped fresh flat-leaf parsley', '1/4 teaspoon black pepper', '1 tablespoon dry white wine', '12 to 16 snails* (from a 7- to 8-oz can)', 'About 2 cups kosher salt (for stabilizing snail shells)', 'Accompaniment: French bread', '12 to 16 sterilized escargot shells*']","Put oven rack in middle position and preheat oven to 230°C.
Using a heavy knife, mince and mash garlic to a paste with 1/8 teaspoon table salt.
Beat together butter, shallot, garlic paste, parsley, remaining 1/4 teaspoon table salt, and pepper in a small bowl with an electric mixer until combined well. Beat in wine until combined well.
Divide half of garlic butter among snail shells. Stuff 1 snail into each shell and top snails with remaining butter. Spread kosher salt in a shallow baking dish and nestle shells, butter sides up, in salt.
Bake snails until butter is melted and sizzling, 4 to 6 minutes. Serve immediately.
Available at Dean & Deluca (212-226-6800)."
falafel,"['6 cups sprouted garbanzo beans', '1 cup loosely packed fresh flat-leaf parsley leaves', '1 cup raw tahini', '1 cup freshly squeezed lemon juice', '1 onion, minced', '2 tablespoons ground cumin', '6 tablespoons Bragg Liquid Aminos, or 2 tablespoons sun-dried sea salt', '1 cup sesame seeds']","Put oven rack in middle position and preheat oven to 230°C.
Using a heavy knife, mince and mash garlic to a paste with 1/8 teaspoon table salt.
Beat together butter, shallot, garlic paste, parsley, remaining 1/4 teaspoon table salt, and pepper in a small bowl with an electric mixer until combined well. Beat in wine until combined well.
Divide half of garlic butter among snail shells. Stuff 1 snail into each shell and top snails with remaining butter. Spread kosher salt in a shallow baking dish and nestle shells, butter sides up, in salt.
Bake snails until butter is melted and sizzling, 4 to 6 minutes. Serve immediately.
Available at Dean & Deluca (212-226-6800)."
filet_mignon,"['6 oz dried egg noodles', '1 medium onion, halved lengthwise', '2 tablespoons vegetable oil', '4 (1 1/4-inch-thick) beef tenderloin steaks (filets mignons)', '1 1/4 teaspoons salt', '3/4 teaspoon black pepper', '2 garlic cloves, thinly sliced', '1/2 lb sliced white mushrooms', '1/4 cup brandy', '3/4 cup reduced-sodium beef broth', '2 tablespoons Worcestershire sauce', '3/4 cup sour cream', 'an adjustable-blade slicer']","Put oven rack in middle position and preheat oven to 230°C.
Using a heavy knife, mince and mash garlic to a paste with 1/8 teaspoon table salt.
Beat together butter, shallot, garlic paste, parsley, remaining 1/4 teaspoon table salt, and pepper in a small bowl with an electric mixer until combined well. Beat in wine until combined well.
Divide half of garlic butter among snail shells. Stuff 1 snail into each shell and top snails with remaining butter. Spread kosher salt in a shallow baking dish and nestle shells, butter sides up, in salt.
Bake snails until butter is melted and sizzling, 4 to 6 minutes. Serve immediately.
Available at Dean & Deluca (212-226-6800)."
fish_and_chips,"['1 large egg yolk', '2 tablespoons malt vinegar, divided', '1 cup vegetable oil', 'Kosher salt, freshly ground pepper', 'Vegetable oil (for frying; about 4 cups)', '2 cups all-purpose flour', '2 teaspoons baking powder', '1 teaspoon baking soda', '1 teaspoon kosher salt plus more', '1/2 teaspoon freshly ground black pepper plus more', '12 ounces (or more) chilled light lager', '1 cup chilled club soda', '1 tablespoon malt vinegar', '1 cup corn flour or all-purpose flour', '1 1/2 pounds cod, haddock or pollack, cut into long, 1 1/2""-wide strips', 'French fries (for serving)', 'Old Bay seasoning, flaky sea salt (such as Maldon), and chopped fresh dill', 'Lemon wedges (for serving)', 'Ingredient info: Corn flour, which is more finely ground than cornmeal, is available at Latin markets, natural foods stores, and bobsredmill.com.', 'A deep-fry thermometer']","Whisk egg yolk and 1 tablespoon vinegar in a small bowl. Whisking constantly, slowly drizzle in oil, drop by drop at first, until mayonnaise is thickened and smooth. Add remaining 1 tablespoon vinegar; season with salt and pepper. Cover and chill.
DO AHEAD: Mayonnaise can be made 1 day ahead. Keep chilled.
Fit a large pot with thermometer; pour in oil to measure 3"". Heat over medium-high heat until thermometer registers 190°C.
Meanwhile, whisk all-purpose flour, baking powder, baking soda, 1 teaspoon kosher salt, and 1/2 teaspoon pepper in a large bowl. Whisking constantly, slowly add beer, club soda, and vinegar, adding more beer if batter is too thick (it should be the consistency of thin pancake batter).
Place corn flour in a shallow bowl. Season fish with kosher salt and pepper. Dredge fish in corn flour, shaking off excess, then dip in batter, letting excess drip back into bowl. Working in batches and returning oil to 190°C between batches, fry fish until golden brown and crisp, about 2 minutes per side. Transfer to paper towel-lined baking sheet.
Season fish and fries with Old Bay, sea salt, and dill; serve with malt vinegar mayonnaise and lemon wedges."
foie_gras,"['1/4 pound Medjool dates (packed 1/2 cup), pitted', '1/2 cup boiling-hot water', '1 tablespoon plus 1 teaspoon pomegranate molasses', '1 large brioche loaf or challah loaf (1 to 1 1/2 pound)', '1 (6 1/2-ounces) block foie gras, chilled', 'Garnish: pomegranate seeds (from 1 pomegranate)']","Whisk egg yolk and 1 tablespoon vinegar in a small bowl. Whisking constantly, slowly drizzle in oil, drop by drop at first, until mayonnaise is thickened and smooth. Add remaining 1 tablespoon vinegar; season with salt and pepper. Cover and chill.
DO AHEAD: Mayonnaise can be made 1 day ahead. Keep chilled.
Fit a large pot with thermometer; pour in oil to measure 3"". Heat over medium-high heat until thermometer registers 190°C.
Meanwhile, whisk all-purpose flour, baking powder, baking soda, 1 teaspoon kosher salt, and 1/2 teaspoon pepper in a large bowl. Whisking constantly, slowly add beer, club soda, and vinegar, adding more beer if batter is too thick (it should be the consistency of thin pancake batter).
Place corn flour in a shallow bowl. Season fish with kosher salt and pepper. Dredge fish in corn flour, shaking off excess, then dip in batter, letting excess drip back into bowl. Working in batches and returning oil to 190°C between batches, fry fish until golden brown and crisp, about 2 minutes per side. Transfer to paper towel-lined baking sheet.
Season fish and fries with Old Bay, sea salt, and dill; serve with malt vinegar mayonnaise and lemon wedges."
french_fries,"['About 8 cups vegetable oil', '2 pounds medium baking (russet) potatoes, peeled', 'Equipment: a deep-fat thermometer; an adjustable-blade slicer fitted with french fry or large (1/4-inch) julienne blade', 'Accompaniment: mayonnaise']","Heat 1 1/2 inches oil to 160°C in a 5-quart heavy pot over medium heat. While oil is heating, cut potatoes with slicer into 1/4-inch sticks.
Fry potatoes in 5 batches for 1 1/2 minutes per batch (potatoes will not be golden) and transfer with a slotted spoon to paper towels to drain. (Return oil to 160°C between batches.)
Heat oil to 350°C. Refry potatoes in 5 batches until golden and crisp, about 5 minutes per batch, and transfer to clean paper towels to drain. (Return oil to 350°C between batches.)
Season fries with salt."
french_onion_soup,"['2 medium onions, finely chopped', '1 tablespoon unsalted butter', '1 tablespoon Calvados, Applejack, or other brandy', '4 cups low-salt beef stock', 'Kosher salt and freshly ground black pepper', '4-8 1/2""-thick slices baguette, cut to fit ramekins', '1 cup grated Gruyère or raclette cheese', 'Four 10-ounces ramekins']","Preheat oven to 230°C. Cook onions in a 12"" nonstick skillet over high heat, stirring constantly, until soft and caramelized, about 15 minutes. Add butter and toss onions to coat. Remove pan from heat and stir in Calvados. Return pan to heat and continue cooking until Calvados is absorbed, about 30 seconds. Add stock and bring to a simmer. Simmer until soup is reduced to 4 cups, about 5 minutes. Season soup to taste with salt and pepper.
Place ramekins on a rimmed baking sheet. Divide soup among ramekins. Top each ramekin with 1-2 slices of bread. Sprinkle 1/4 cup cheese over each. Transfer baking sheet with ramekins to oven and bake until cheese is bubbly and browned in spots, about 4 minutes."
french_toast,"['8 (1""-thick) slices challah, brioche, or other rich, dense bread', '1 (20-oz.) can cubed pineapple in juice', '2 Tbsp. virgin coconut oil, divided, plus more for brushing', '1 cup plus 1 Tbsp. sugar, divided', '1/2 tsp. kosher salt, divided', '1 (14-oz.) can coconut milk, preferably full-fat', '1 tsp. vanilla extract']","Preheat oven to 140°C. Arrange bread on a rimmed baking sheet and toast, flipping once halfway through, until dry but not browned, 20–30 minutes. This will help the bread absorb the coconut milk without sogging out.
While bread toasts, drain pineapple cubes, reserving juice. Heat 1 Tbsp. oil in a medium skillet over medium. Cook pineapple, stirring occasionally, until golden brown, about 10 minutes. Add juice, 1 cup sugar, 1/4 tsp. salt, and 1/2 cup water and bring to a boil. Reduce heat to medium-low and simmer, stirring occasionally, until pineapple breaks down a little and juice is syrupy and thick, 10–12 minutes. Transfer to a medium bowl and cover with a kitchen towel to keep warm.
Whisk coconut milk, vanilla, and remaining 1 Tbsp. sugar and 1/4 tsp. salt in a large bowl.
Heat 1 Tbsp. oil in a nonstick skillet over medium-high. Working in batches, dip each slice of bread into coconut milk mixture and let soak about 15 seconds. Flip and soak 15 more seconds. Cook, flipping halfway through, until golden brown on each side, 3–4 minutes per side. Repeat with remaining bread, brushing skillet with more oil between batches.
Arrange toast on a platter. Top with pineapple pieces and syrup."
fried_calamari,"['1 lb cleaned medium squid (4""-5″), with tentacles', '3/4 cup cornstarch', '3/4 cup all-purpose flour', '1/2 cup yellow cornmeal', '2 teaspoons salt', '1/2 teaspoon freshly ground black pepper', '1/2 teaspoon cayenne pepper', 'About 6 cups peanut, canola, or other vegetable oil, for deep-frying', '2 cups buttermilk', '4 tablespoons unsalted butter', '4 large garlic cloves, finely chopped', '1 cup sliced hot cherry peppers in vinegar, drained', '2 tablespoons chopped fresh Italian parsley', 'Deep-fry thermometer']","Preheat oven to 140°C. Arrange bread on a rimmed baking sheet and toast, flipping once halfway through, until dry but not browned, 20–30 minutes. This will help the bread absorb the coconut milk without sogging out.
While bread toasts, drain pineapple cubes, reserving juice. Heat 1 Tbsp. oil in a medium skillet over medium. Cook pineapple, stirring occasionally, until golden brown, about 10 minutes. Add juice, 1 cup sugar, 1/4 tsp. salt, and 1/2 cup water and bring to a boil. Reduce heat to medium-low and simmer, stirring occasionally, until pineapple breaks down a little and juice is syrupy and thick, 10–12 minutes. Transfer to a medium bowl and cover with a kitchen towel to keep warm.
Whisk coconut milk, vanilla, and remaining 1 Tbsp. sugar and 1/4 tsp. salt in a large bowl.
Heat 1 Tbsp. oil in a nonstick skillet over medium-high. Working in batches, dip each slice of bread into coconut milk mixture and let soak about 15 seconds. Flip and soak 15 more seconds. Cook, flipping halfway through, until golden brown on each side, 3–4 minutes per side. Repeat with remaining bread, brushing skillet with more oil between batches.
Arrange toast on a platter. Top with pineapple pieces and syrup."
fried_rice,"['3 tablespoons canola oil', '2 eggs, beaten', '1 bunch scallions, roughly chopped', '1 cup leftover pork, chicken, or beef, diced', '1 cup frozen peas and carrots, thawed (plus any leftover vegetables you have on hand)', '4 cups cold cooked white or brown rice', '4 tablespoons soy sauce', 'Salt and pepper to taste']","Preheat oven to 140°C. Arrange bread on a rimmed baking sheet and toast, flipping once halfway through, until dry but not browned, 20–30 minutes. This will help the bread absorb the coconut milk without sogging out.
While bread toasts, drain pineapple cubes, reserving juice. Heat 1 Tbsp. oil in a medium skillet over medium. Cook pineapple, stirring occasionally, until golden brown, about 10 minutes. Add juice, 1 cup sugar, 1/4 tsp. salt, and 1/2 cup water and bring to a boil. Reduce heat to medium-low and simmer, stirring occasionally, until pineapple breaks down a little and juice is syrupy and thick, 10–12 minutes. Transfer to a medium bowl and cover with a kitchen towel to keep warm.
Whisk coconut milk, vanilla, and remaining 1 Tbsp. sugar and 1/4 tsp. salt in a large bowl.
Heat 1 Tbsp. oil in a nonstick skillet over medium-high. Working in batches, dip each slice of bread into coconut milk mixture and let soak about 15 seconds. Flip and soak 15 more seconds. Cook, flipping halfway through, until golden brown on each side, 3–4 minutes per side. Repeat with remaining bread, brushing skillet with more oil between batches.
Arrange toast on a platter. Top with pineapple pieces and syrup."
frozen_yogurt,"['1 cup heavy cream', '1 cup plain whole-milk Greek yogurt', '1 cup whole milk', '1/2 cup honey', '2 tablespoons fresh lemon juice', 'Pinch of kosher salt', '4 large ripe peaches (about 2 pounds)', '6 fresh lemon verbena leaves', '1 1/2 cups Cocchi Aperitivo Americano (Italian aperitif wine)', '1/2 cup sugar', '1/4 cup chopped unsalted, raw pistachios']","Preheat oven to 140°C. Arrange bread on a rimmed baking sheet and toast, flipping once halfway through, until dry but not browned, 20–30 minutes. This will help the bread absorb the coconut milk without sogging out.
While bread toasts, drain pineapple cubes, reserving juice. Heat 1 Tbsp. oil in a medium skillet over medium. Cook pineapple, stirring occasionally, until golden brown, about 10 minutes. Add juice, 1 cup sugar, 1/4 tsp. salt, and 1/2 cup water and bring to a boil. Reduce heat to medium-low and simmer, stirring occasionally, until pineapple breaks down a little and juice is syrupy and thick, 10–12 minutes. Transfer to a medium bowl and cover with a kitchen towel to keep warm.
Whisk coconut milk, vanilla, and remaining 1 Tbsp. sugar and 1/4 tsp. salt in a large bowl.
Heat 1 Tbsp. oil in a nonstick skillet over medium-high. Working in batches, dip each slice of bread into coconut milk mixture and let soak about 15 seconds. Flip and soak 15 more seconds. Cook, flipping halfway through, until golden brown on each side, 3–4 minutes per side. Repeat with remaining bread, brushing skillet with more oil between batches.
Arrange toast on a platter. Top with pineapple pieces and syrup."
garlic_bread,"['2 large garlic cloves, finely chopped', '1/2 stick (1/4 cup) unsalted butter, well softened', '1 tablespoon extra-virgin olive oil', '2 tablespoons finely chopped flat-leaf parsley', '1 (15"") loaf Italian bread (about 3 1/2"" wide)', '4 tablespoons grated Parmesan']","Preheat oven to 180°C with rack in middle.
Mince and mash garlic to a paste with a rounded 1/4 teaspoon salt using a heavy knife.
Stir together butter, oil, and garlic paste in a bowl until combined well; stir in parsley.
Halve loaf horizontally and divide butter mixture between halves, spreading it evenly.
Divide cheese between halves and spread it in an even layer.
Put halves, cheese side up, on a large baking sheet. Cover the bread with a large piece of foil, tenting it slightly on the top and tucking it under the bread.
Bake 15 minutes.
Remove foil and turn oven to broil. Broil bread until golden, 1-3 minutes."
gnocchi,"['10 ounces block frozen chopped spinach', '1 cup whole milk ricotta cheese', '2/3 cup parmesan cheese, plus 2 tbsp for sprinkling before serving.', '1 egg yolk', '2 tablespoons flour, plus more for dusting your hands while rolling']","Preheat oven to 180°C with rack in middle.
Mince and mash garlic to a paste with a rounded 1/4 teaspoon salt using a heavy knife.
Stir together butter, oil, and garlic paste in a bowl until combined well; stir in parsley.
Halve loaf horizontally and divide butter mixture between halves, spreading it evenly.
Divide cheese between halves and spread it in an even layer.
Put halves, cheese side up, on a large baking sheet. Cover the bread with a large piece of foil, tenting it slightly on the top and tucking it under the bread.
Bake 15 minutes.
Remove foil and turn oven to broil. Broil bread until golden, 1-3 minutes."
greek_salad,"['3/4 cup extra-virgin olive oil, divided', '1 small lemon, thinly sliced into rounds, seeds removed', '8 oz. feta', '1 Tbsp. chopped oregano', 'Kosher salt, freshly ground pepper', '4 Jimmy Nardello or other sweet Italian frying peppers', '1 small red onion, very thinly sliced', '1 large Japanese or Armenian cucumber or 2 medium Persian cucumbers, peeled, cut into 1½"" pieces', '1 lb. small tomatoes (such as Sun Gold and/or cherry), some halved, some left whole', '2 Tbsp. red wine vinegar']","Preheat oven to 180°C with rack in middle.
Mince and mash garlic to a paste with a rounded 1/4 teaspoon salt using a heavy knife.
Stir together butter, oil, and garlic paste in a bowl until combined well; stir in parsley.
Halve loaf horizontally and divide butter mixture between halves, spreading it evenly.
Divide cheese between halves and spread it in an even layer.
Put halves, cheese side up, on a large baking sheet. Cover the bread with a large piece of foil, tenting it slightly on the top and tucking it under the bread.
Bake 15 minutes.
Remove foil and turn oven to broil. Broil bread until golden, 1-3 minutes."
grilled_cheese_sandwich,"['Butter', '4 slices country white sourdough bread, cut on deep diagonal into 1/3-inch-thick slices (each about 7x3 1/2 inches)', '4 thin slices prosciutto', '8 large fresh basil leaves', '8 (1/4-inch-thick) slices young Asiago cheese or drained fresh mozzarella cheese', '1/4 teaspoon dried crushed red pepper', '2 tablespoons olive oil', '6 (1/3-inch-thick) slices heirloom tomato (from about 1 large)']","Preheat oven to 200°C. Lightly butter 1 side of each bread slice. Place 2 bread slices, buttered side down, on work surface. Top each with 2 prosciutto slices, then 4 basil leaves, then 4 cheese slices. Sprinkle with salt and crushed red pepper. Top with remaining 2 bread slices, buttered side up. Heat olive oil in heavy large ovenproof skillet over medium-high heat. Add sandwiches to skillet and cook until golden on bottom, about 4 minutes. Turn sandwiches over; transfer skillet to oven and bake until golden and cheese melts, about 5 minutes. Remove from oven. Carefully lift off top bread slices from sandwiches and insert 3 tomato slices into each, then cover with bread tops and serve."
